Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10NF","C_0201_0603Metric",31.590000,9.030000,0.000000,bottom
"C4","100NF","C_0201_0603Metric",22.650000,7.280000,-90.000000,bottom
"C5","100NF","C_0201_0603Metric",31.330000,12.190000,0.000000,bottom
"C6","100NF","C_0201_0603Metric",24.510000,16.320000,180.000000,bottom
"C7","100NF","C_0201_0603Metric",26.390000,16.940000,0.000000,bottom
"C8","100NF","C_0201_0603Metric",21.400000,7.330000,-90.000000,bottom
"C9","100NF","C_0201_0603Metric",21.320000,12.520000,-90.000000,bottom
"C10","100NF","C_0201_0603Metric",23.070000,3.930000,-90.000000,bottom
"C12","4.7UF","C_0402_1005Metric",24.760000,17.130000,180.000000,bottom
"C13","100NF","C_0201_0603Metric",32.000000,15.330000,0.000000,bottom
"C14","100PF","C_0201_0603Metric",31.990000,14.630000,0.000000,bottom
"C16","1UF","C_0201_0603Metric",29.200000,6.720000,0.000000,bottom
"C17","100NF","C_0201_0603Metric",29.200000,7.420000,0.000000,bottom
"C25","100NF","C_0201_0603Metric",15.050000,9.730000,-90.000000,bottom
"C27","1.0UF","C_0402_1005Metric",15.470000,7.280000,90.000000,bottom
"C30","100N","C_0402_1005Metric",12.680000,15.600000,180.000000,bottom
"D2","RB081LAM-20TR","D_SOD-128",10.310000,10.530000,90.000000,bottom
"D3","VSKY05301006-G4-08","D_0402_1005Metric",14.520000,7.300000,-90.000000,bottom
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",37.640000,15.730000,180.000000,bottom
"Q1","DMG1012T","SOT-523",16.467500,2.787500,180.000000,bottom
"Q2","DMG1012T","SOT-523",16.360000,5.012500,90.000000,bottom
"R1","100K","R_0201_0603Metric",12.770000,14.770000,180.000000,bottom
"R3","420R","R_0201_0603Metric",9.910000,1.980000,-90.000000,bottom
"R4","10K","R_0201_0603Metric",19.930000,8.250000,180.000000,bottom
"R9","0R","R_0201_0603Metric",10.130000,4.200000,90.000000,bottom
"R10","0R","R_0201_0603Metric",10.840000,3.710000,-90.000000,bottom
"R13","0R","R_0603_1608Metric",13.020000,6.610000,-90.000000,bottom
"R16","2.2K","R_0201_0603Metric",13.230000,10.070000,0.000000,bottom
"R17","10K","R_0201_0603Metric",14.300000,9.740000,-90.000000,bottom
