Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10N","C_0201_0603Metric",31.590000,9.030000,0.000000,bottom
"C4","100N","C_0201_0603Metric",22.525000,6.800000,-90.000000,bottom
"C5","100N","C_0201_0603Metric",31.330000,12.190000,0.000000,bottom
"C6","100N","C_0201_0603Metric",27.955000,15.430000,-90.000000,bottom
"C7","100N","C_0201_0603Metric",26.210000,15.420000,-90.000000,bottom
"C8","100N","C_0201_0603Metric",21.360000,7.315000,-90.000000,bottom
"C9","100N","C_0201_0603Metric",20.880000,13.080000,-90.000000,bottom
"C10","100N","C_0201_0603Metric",23.070000,3.930000,-90.000000,bottom
"C12","4.7U","C_0402_1005Metric",27.030000,15.255000,-90.000000,bottom
"C13","100N","C_0201_0603Metric",31.935000,15.640000,0.000000,bottom
"C14","100P","C_0201_0603Metric",31.935000,14.870000,0.000000,bottom
"C16","1.0U","C_0201_0603Metric",29.200000,6.100000,0.000000,bottom
"C17","100N","C_0201_0603Metric",29.200000,6.800000,0.000000,bottom
"C19","100N","C_0201_0603Metric",25.470000,15.430000,-90.000000,bottom
"C25","100N","C_0201_0603Metric",15.050000,9.730000,-90.000000,bottom
"C27","1.0U 16V","C_0402_1005Metric",15.470000,7.280000,90.000000,bottom
"C28","100N","C_0201_0603Metric",24.720000,15.435000,-90.000000,bottom
"C30","100N","C_0201_0603Metric",12.680000,15.600000,180.000000,bottom
"D2","RB081LAM-20TR","D_SOD-128",10.255000,10.580000,90.000000,bottom
"D3","VSKY05301006-G4-08","D_0402_1005Metric",14.520000,7.300000,-90.000000,bottom
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",37.060000,17.110000,180.000000,bottom
"Q1","DMG1012T","SOT-523",16.467500,2.787500,180.000000,bottom
"Q2","DMG1012T","SOT-523",16.360000,5.012500,90.000000,bottom
"R1","100K","R_0201_0603Metric",12.720000,14.805000,180.000000,bottom
"R3","470R","R_0201_0603Metric",9.910000,1.980000,-90.000000,bottom
"R4","10K","R_0201_0603Metric",19.930000,8.250000,180.000000,bottom
"R9","0R","R_0201_0603Metric",10.130000,4.200000,90.000000,bottom
"R10","0R","R_0201_0603Metric",10.840000,3.710000,-90.000000,bottom
"R13","0R","R_0603_1608Metric",13.020000,6.610000,-90.000000,bottom
"R16","2.2K","R_0201_0603Metric",13.230000,10.070000,0.000000,bottom
"R17","10K","R_0201_0603Metric",14.300000,9.740000,-90.000000,bottom
"R18","1K","R_0201_0603Metric",13.235000,16.805000,-90.000000,bottom
"R20","5.1K","R_0201_0603Metric",5.666000,13.204000,90.000000,bottom
"R21","5.1K","R_0201_0603Metric",5.666000,15.490000,-90.000000,bottom
"R22","470R","R_0201_0603Metric",13.420000,2.230000,-90.000000,bottom
"R24","1K","R_0201_0603Metric",14.180000,2.220000,-90.000000,bottom
"R25","100K","R_0201_0603Metric",18.040000,3.220000,-90.000000,bottom
"R26","0R","R_0402_1005Metric",26.800800,6.701600,0.000000,bottom
