Ref,Val,Package,PosX,PosY,Rot,Side
"C2","0.7P","C_0201_0603Metric",35.780000,12.140000,-90.000000,top
"C3","0.7P","C_0201_0603Metric",33.660000,12.150000,-90.000000,top
"C11","4.7U","C_0402_1005Metric",16.670000,16.540000,-90.000000,top
"C15","4.7U","C_0402_1005Metric",14.570000,12.250000,180.000000,top
"C18","7P","C_0201_0603Metric",23.040000,4.052200,-90.000000,top
"C20","2.2U 35V","C_0603_1608Metric",10.090000,16.050000,-90.000000,top
"C21","100N","C_0201_0603Metric",30.680000,4.220000,-90.000000,top
"C22","1.0U","C_0402_1005Metric",12.699200,5.761800,180.000000,top
"C23","1.0U 35V","C_0402_1005Metric",8.770000,4.070000,-90.000000,top
"C24","10U 10V","C_0402_1005Metric",10.870400,5.761800,0.000000,top
"C26","10U","C_0402_1005Metric",12.580000,11.640000,180.000000,top
"C29","1.0U 35V","C_0603_1608Metric",16.560000,3.790000,180.000000,top
"C31","8P","C_0201_0603Metric",31.690000,16.410000,90.000000,top
"C32","8P","C_0201_0603Metric",31.690000,15.010000,-90.000000,top
"C33","1.0U","C_0402_1005Metric",11.280000,16.620000,-90.000000,top
"C34","7P","C_0201_0603Metric",23.050000,5.465000,90.000000,top
"D1","LED","D_0402_1005Metric",9.600000,0.710000,180.000000,top
"D4","LED","D_0402_1005Metric",15.160000,0.710000,0.000000,top
"D5","LED","D_0402_1005Metric",12.380000,0.710000,180.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",11.380000,18.420000,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",37.060000,17.110000,0.000000,top
"J1","Conn_01x15","PinHeader_1x15_P1.27mm_Vertical",17.350000,18.676000,90.000000,top
"J2","Conn_01x15","PinHeader_1x15_P1.27mm_Vertical",17.350000,0.905000,90.000000,top
"J3","PH_S3B-PH-K","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",6.351800,6.060000,-90.000000,top
"J5","DX07S016JA1R1500","USB_C_Receptacle_JAE_DX07S016JA1R1500",4.065000,14.090000,-90.000000,top
"L1","2.2N","D_0201_0603Metric",34.720000,12.460000,180.000000,top
"L4","2.2U","L_Murata_DFE201610P",14.048000,9.546400,90.000000,top
"R2","0R","R_0201_0603Metric",31.340000,13.460000,180.000000,top
"R5","10K","R_0201_0603Metric",23.400000,2.810000,180.000000,top
"R6","0R","R_0402_1005Metric",28.000000,3.565000,-90.000000,top
"R7","680R","R_0201_0603Metric",26.450000,4.370000,180.000000,top
"R8","680R","R_0201_0603Metric",27.000000,5.070000,0.000000,top
"R11","2.4K","R_0201_0603Metric",14.100000,3.410000,180.000000,top
"R12","600R","R_0201_0603Metric",14.100000,4.130000,0.000000,top
"R14","0R","R_0201_0603Metric",14.090000,2.690000,180.000000,top
"R15","0R","R_0201_0603Metric",15.490000,2.690000,180.000000,top
"R19","100K","R_0201_0603Metric",10.940000,11.560000,0.000000,top
"R23","0R","R_0402_1005Metric",14.590000,11.300000,180.000000,top
"TP1","MS-156C3","CoaxialSwitch_Hirose_MS-156C3_Horizontal",37.838400,12.469200,0.000000,top
"U1","STM32WB55RGVx","QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm",26.180000,11.460000,90.000000,top
"U3","AT25SL321-U","WLCSP-8_1.551x2.284mm_P0.5mm",33.200000,5.340000,90.000000,top
"U4","BQ25185","Texas_DLH_WSON-10",11.784800,4.060000,0.000000,top
"U5","TPS62746","Texas_DSBGA-8_0.705x1.468mm_Layout2x4_P0.4mm",11.635000,9.419400,180.000000,top
"U6","USBLC6-2P6","SOT-666",11.635000,13.460000,180.000000,top
"U8","TPS7A0533PDBV","SOT-23-5",14.124200,16.316900,0.000000,top
"Y1","ECS-320-8-37CKM","Crystal_SMD_2016-4Pin_2.0x1.6mm",33.380000,15.960000,90.000000,top
"Y2","SC32S-7PF20PPM","Crystal_SMD_3215-2Pin_3.2x1.5mm",21.520000,4.830000,-90.000000,top
